week,home_team,away_team,moneyline
1,Los Angeles Rams_1970,St. Louis Cardinals_1970,1
1,New York Giants_1970,Chicago Bears_1970,-1
1,Buffalo Bills_1970,Denver Broncos_1970,-1
1,Cincinnati Bengals_1970,Oakland Raiders_1970,1
1,Philadelphia Eagles_1970,Dallas Cowboys_1970,-1
1,Boston Patriots_1970,Miami Dolphins_1970,1
1,Pittsburgh Steelers_1970,Houston Oilers_1970,-1
1,New Orleans Saints_1970,Atlanta Falcons_1970,-1
1,Green Bay Packers_1970,Detroit Lions_1970,-1
1,San Diego Chargers_1970,Baltimore Colts_1970,-1
1,Minnesota Vikings_1970,Kansas City Chiefs_1970,1
1,San Francisco 49ers_1970,Washington Redskins_1970,1
1,Cleveland Browns_1970,New York Jets_1970,1
2,Buffalo Bills_1970,Los Angeles Rams_1970,-1
2,Detroit Lions_1970,Cincinnati Bengals_1970,1
2,Boston Patriots_1970,New York Jets_1970,-1
2,Green Bay Packers_1970,Atlanta Falcons_1970,1
2,Chicago Bears_1970,Philadelphia Eagles_1970,1
2,St. Louis Cardinals_1970,Washington Redskins_1970,1
2,Dallas Cowboys_1970,New York Giants_1970,1
2,Houston Oilers_1970,Miami Dolphins_1970,-1
2,Minnesota Vikings_1970,New Orleans Saints_1970,1
2,San Francisco 49ers_1970,Cleveland Browns_1970,1
2,Denver Broncos_1970,Pittsburgh Steelers_1970,1
2,San Diego Chargers_1970,Oakland Raiders_1970,-1
2,Baltimore Colts_1970,Kansas City Chiefs_1970,-1
3,Miami Dolphins_1970,Oakland Raiders_1970,1
3,Cleveland Browns_1970,Pittsburgh Steelers_1970,1
3,Atlanta Falcons_1970,San Francisco 49ers_1970,1
3,Buffalo Bills_1970,New York Jets_1970,1
3,Cincinnati Bengals_1970,Houston Oilers_1970,-1
3,Boston Patriots_1970,Baltimore Colts_1970,-1
3,Philadelphia Eagles_1970,Washington Redskins_1970,-1
3,St. Louis Cardinals_1970,Dallas Cowboys_1970,1
3,New Orleans Saints_1970,New York Giants_1970,1
3,Denver Broncos_1970,Kansas City Chiefs_1970,1
3,Green Bay Packers_1970,Minnesota Vikings_1970,1
3,Los Angeles Rams_1970,San Diego Chargers_1970,1
3,Detroit Lions_1970,Chicago Bears_1970,1
4,New York Jets_1970,Miami Dolphins_1970,-1
4,Pittsburgh Steelers_1970,Buffalo Bills_1970,1
4,Cleveland Browns_1970,Cincinnati Bengals_1970,1
4,Washington Redskins_1970,Detroit Lions_1970,1
4,New York Giants_1970,Philadelphia Eagles_1970,1
4,Dallas Cowboys_1970,Atlanta Falcons_1970,1
4,Chicago Bears_1970,Minnesota Vikings_1970,-1
4,St. Louis Cardinals_1970,New Orleans Saints_1970,1
4,Houston Oilers_1970,Baltimore Colts_1970,-1
4,Oakland Raiders_1970,Denver Broncos_1970,1
4,Kansas City Chiefs_1970,Boston Patriots_1970,1
4,Los Angeles Rams_1970,San Francisco 49ers_1970,-1
4,San Diego Chargers_1970,Green Bay Packers_1970,-1
5,Buffalo Bills_1970,Miami Dolphins_1970,-1
5,Cleveland Browns_1970,Detroit Lions_1970,-1
5,New York Jets_1970,Baltimore Colts_1970,-1
5,Philadelphia Eagles_1970,St. Louis Cardinals_1970,-1
5,Boston Patriots_1970,New York Giants_1970,-1
5,Chicago Bears_1970,San Diego Chargers_1970,-1
5,Green Bay Packers_1970,Los Angeles Rams_1970,-1
5,Houston Oilers_1970,Pittsburgh Steelers_1970,-1
5,Denver Broncos_1970,Atlanta Falcons_1970,1
5,Cincinnati Bengals_1970,Kansas City Chiefs_1970,-1
5,Minnesota Vikings_1970,Dallas Cowboys_1970,1
5,San Francisco 49ers_1970,New Orleans Saints_1970,-1
5,Oakland Raiders_1970,Washington Redskins_1970,1
6,Atlanta Falcons_1970,New Orleans Saints_1970,1
6,New York Jets_1970,Buffalo Bills_1970,-1
6,Washington Redskins_1970,Cincinnati Bengals_1970,1
6,Miami Dolphins_1970,Cleveland Browns_1970,-1
6,New York Giants_1970,St. Louis Cardinals_1970,1
6,Chicago Bears_1970,Detroit Lions_1970,-1
6,Baltimore Colts_1970,Boston Patriots_1970,1
6,Green Bay Packers_1970,Philadelphia Eagles_1970,1
6,Kansas City Chiefs_1970,Dallas Cowboys_1970,-1
6,San Francisco 49ers_1970,Denver Broncos_1970,1
6,San Diego Chargers_1970,Houston Oilers_1970,-1
6,Oakland Raiders_1970,Pittsburgh Steelers_1970,1
6,Minnesota Vikings_1970,Los Angeles Rams_1970,1
7,Atlanta Falcons_1970,Chicago Bears_1970,-1
7,Boston Patriots_1970,Buffalo Bills_1970,-1
7,Cleveland Browns_1970,San Diego Chargers_1970,-1
7,Detroit Lions_1970,Minnesota Vikings_1970,-1
7,New York Jets_1970,New York Giants_1970,-1
7,Baltimore Colts_1970,Miami Dolphins_1970,1
7,St. Louis Cardinals_1970,Houston Oilers_1970,1
7,Dallas Cowboys_1970,Philadelphia Eagles_1970,1
7,New Orleans Saints_1970,Los Angeles Rams_1970,-1
7,Denver Broncos_1970,Washington Redskins_1970,-1
7,San Francisco 49ers_1970,Green Bay Packers_1970,1
7,Kansas City Chiefs_1970,Oakland Raiders_1970,-1
7,Pittsburgh Steelers_1970,Cincinnati Bengals_1970,1
8,Buffalo Bills_1970,Cincinnati Bengals_1970,-1
8,New York Giants_1970,Dallas Cowboys_1970,1
8,Philadelphia Eagles_1970,Miami Dolphins_1970,1
8,Washington Redskins_1970,Minnesota Vikings_1970,-1
8,Pittsburgh Steelers_1970,New York Jets_1970,1
8,Chicago Bears_1970,San Francisco 49ers_1970,-1
8,St. Louis Cardinals_1970,Boston Patriots_1970,1
8,New Orleans Saints_1970,Detroit Lions_1970,1
8,Kansas City Chiefs_1970,Houston Oilers_1970,1
8,Los Angeles Rams_1970,Atlanta Falcons_1970,-1
8,Oakland Raiders_1970,Cleveland Browns_1970,1
8,San Diego Chargers_1970,Denver Broncos_1970,1
8,Green Bay Packers_1970,Baltimore Colts_1970,-1
9,Philadelphia Eagles_1970,Atlanta Falcons_1970,-1
9,Cincinnati Bengals_1970,Cleveland Browns_1970,1
9,Pittsburgh Steelers_1970,Kansas City Chiefs_1970,-1
9,Miami Dolphins_1970,New Orleans Saints_1970,1
9,Boston Patriots_1970,San Diego Chargers_1970,-1
9,New York Giants_1970,Washington Redskins_1970,1
9,Baltimore Colts_1970,Buffalo Bills_1970,-1
9,Green Bay Packers_1970,Chicago Bears_1970,1
9,Minnesota Vikings_1970,Detroit Lions_1970,1
9,Houston Oilers_1970,San Francisco 49ers_1970,-1
9,Denver Broncos_1970,Oakland Raiders_1970,-1
9,Los Angeles Rams_1970,New York Jets_1970,-1
9,Dallas Cowboys_1970,St. Louis Cardinals_1970,-1
10,Atlanta Falcons_1970,Los Angeles Rams_1970,-1
10,Cincinnati Bengals_1970,Pittsburgh Steelers_1970,1
10,Cleveland Browns_1970,Houston Oilers_1970,1
10,Miami Dolphins_1970,Baltimore Colts_1970,1
10,Washington Redskins_1970,Dallas Cowboys_1970,-1
10,New Orleans Saints_1970,Denver Broncos_1970,-1
10,Detroit Lions_1970,San Francisco 49ers_1970,1
10,New York Jets_1970,Boston Patriots_1970,1
10,Chicago Bears_1970,Buffalo Bills_1970,1
10,Minnesota Vikings_1970,Green Bay Packers_1970,1
10,Kansas City Chiefs_1970,St. Louis Cardinals_1970,-1
10,Oakland Raiders_1970,San Diego Chargers_1970,1
10,Philadelphia Eagles_1970,New York Giants_1970,1
11,Detroit Lions_1970,Oakland Raiders_1970,1
11,Dallas Cowboys_1970,Green Bay Packers_1970,1
11,Buffalo Bills_1970,Boston Patriots_1970,-1
11,Cincinnati Bengals_1970,New Orleans Saints_1970,1
11,Pittsburgh Steelers_1970,Cleveland Browns_1970,1
11,New York Jets_1970,Minnesota Vikings_1970,1
11,Washington Redskins_1970,New York Giants_1970,-1
11,Baltimore Colts_1970,Chicago Bears_1970,1
11,St. Louis Cardinals_1970,Philadelphia Eagles_1970,1
11,Houston Oilers_1970,Denver Broncos_1970,1
11,Kansas City Chiefs_1970,San Diego Chargers_1970,1
11,San Francisco 49ers_1970,Los Angeles Rams_1970,-1
11,Atlanta Falcons_1970,Miami Dolphins_1970,-1
12,Minnesota Vikings_1970,Chicago Bears_1970,1
12,New York Giants_1970,Buffalo Bills_1970,1
12,Detroit Lions_1970,St. Louis Cardinals_1970,1
12,Pittsburgh Steelers_1970,Green Bay Packers_1970,-1
12,Miami Dolphins_1970,Boston Patriots_1970,1
12,New York Jets_1970,Oakland Raiders_1970,-1
12,Baltimore Colts_1970,Philadelphia Eagles_1970,1
12,Kansas City Chiefs_1970,Denver Broncos_1970,1
12,San Francisco 49ers_1970,Atlanta Falcons_1970,1
12,San Diego Chargers_1970,Cincinnati Bengals_1970,-1
12,Dallas Cowboys_1970,Washington Redskins_1970,1
12,Los Angeles Rams_1970,New Orleans Saints_1970,1
12,Houston Oilers_1970,Cleveland Browns_1970,-1
13,Cleveland Browns_1970,Dallas Cowboys_1970,-1
13,Oakland Raiders_1970,Kansas City Chiefs_1970,1
13,Boston Patriots_1970,Minnesota Vikings_1970,-1
13,Atlanta Falcons_1970,Pittsburgh Steelers_1970,1
13,Buffalo Bills_1970,Baltimore Colts_1970,-1
13,Washington Redskins_1970,Philadelphia Eagles_1970,1
13,Chicago Bears_1970,Green Bay Packers_1970,1
13,Houston Oilers_1970,Cincinnati Bengals_1970,-1
13,St. Louis Cardinals_1970,New York Giants_1970,-1
13,New Orleans Saints_1970,San Francisco 49ers_1970,-1
13,Denver Broncos_1970,San Diego Chargers_1970,-1
13,Miami Dolphins_1970,New York Jets_1970,1
13,Los Angeles Rams_1970,Detroit Lions_1970,-1
14,Baltimore Colts_1970,New York Jets_1970,1
14,Atlanta Falcons_1970,Minnesota Vikings_1970,-1
14,Miami Dolphins_1970,Buffalo Bills_1970,1
14,Cincinnati Bengals_1970,Boston Patriots_1970,1
14,Washington Redskins_1970,St. Louis Cardinals_1970,1
14,Detroit Lions_1970,Green Bay Packers_1970,1
14,New York Giants_1970,Los Angeles Rams_1970,-1
14,Philadelphia Eagles_1970,Pittsburgh Steelers_1970,1
14,New Orleans Saints_1970,Chicago Bears_1970,-1
14,Dallas Cowboys_1970,Houston Oilers_1970,1
14,Denver Broncos_1970,Cleveland Browns_1970,-1
14,San Diego Chargers_1970,Kansas City Chiefs_1970,1
14,Oakland Raiders_1970,San Francisco 49ers_1970,-1
21,Baltimore Colts_1970,Cincinnati Bengals_1970,1
